rank,city,country,batch,html_file,before_score,before_grade,after_score,after_grade,score_change,before_word_count,after_word_count,before_avg_sentence_words,after_avg_sentence_words,before_long_sentence_percent,after_long_sentence_percent,before_internal_links,after_internal_links,before_external_links,after_external_links,before_emoji_count,after_emoji_count,issues_found,fixes_applied,remaining_review_flags,old_seo_title,new_seo_title,new_meta_description,primary_keyword
1,Jakarta,Indonesia,01,001-matcha-maya-jakarta-coworking-customer-journey.html,78,Fair,100,Excellent,22,1218,1627,14.5,12.5,0.0,0.0,6,6,2,2,1,15,emoji; heading_keyword; opening_keyword; template_voice; title,emoji; heading_keyword; opening_keyword; template_voice; title,none,MATCHA MAYA in Jakarta: A Coworking Customer Journey at GoWork Plaza Indonesia,Coworking Space in Jakarta: MATCHA MAYA's Journey,"Explore a researched coworking space in Jakarta with MATCHA MAYA: one focused workday, a local matcha ritual, practical checks, and an honest verdict.",coworking space in Jakarta
2,Dhaka,Bangladesh,01,002-matcha-maya-dhaka-coworking-customer-journey.html,84,Good,100,Excellent,16,1212,1614,14.4,12.6,0.0,0.0,6,6,2,2,1,15,emoji; heading_keyword; opening_keyword; template_voice,emoji; heading_keyword; opening_keyword; template_voice,none,MATCHA MAYA in Dhaka: A Coworking Customer Journey at Moar Banani,Coworking Space in Dhaka: MATCHA MAYA's Journey,"Explore a researched coworking space in Dhaka with MATCHA MAYA: one focused workday, a local matcha ritual, practical checks, and an honest verdict.",coworking space in Dhaka
3,Tokyo,Japan,01,003-matcha-maya-tokyo-coworking-customer-journey.html,78,Fair,100,Excellent,22,1216,1630,14.6,12.6,0.0,0.0,6,6,2,2,1,15,emoji; heading_keyword; opening_keyword; template_voice; title,emoji; heading_keyword; opening_keyword; template_voice; title,none,MATCHA MAYA in Tokyo: A Coworking Customer Journey at Business-Airport,Coworking Space in Tokyo: MATCHA MAYA's Journey,"Explore a researched coworking space in Tokyo with MATCHA MAYA: one focused workday, a local matcha ritual, practical checks, and an honest verdict.",coworking space in Tokyo
4,New Delhi,India,01,004-matcha-maya-new-delhi-coworking-customer-journey.html,78,Fair,100,Excellent,22,1240,1667,14.7,12.9,0.0,0.0,6,6,2,2,1,15,emoji; heading_keyword; opening_keyword; template_voice; title,emoji; heading_keyword; opening_keyword; template_voice; title,none,MATCHA MAYA in New Delhi: A Coworking Customer Journey at Awfis New Delhi,Coworking Space in New Delhi: MATCHA MAYA's Journey,"Explore a researched coworking space in New Delhi with MATCHA MAYA: one focused workday, a local matcha ritual, practical checks, and an honest verdict.",coworking space in New Delhi
5,Shanghai,China,01,005-matcha-maya-shanghai-coworking-customer-journey.html,73,Fair,100,Excellent,27,1239,1649,14.7,12.8,0.0,0.0,6,6,2,2,1,15,emoji; heading_keyword; meta; opening_keyword; template_voice; title,emoji; heading_keyword; meta; opening_keyword; template_voice; title,none,MATCHA MAYA in Shanghai: A Coworking Customer Journey at Arcc Spaces Jing'an Kerry Centre,Coworking Space in Shanghai: MATCHA MAYA's Journey,"Explore a researched coworking space in Shanghai with MATCHA MAYA: one focused workday, a local matcha ritual, practical checks, and an honest verdict.",coworking space in Shanghai
6,Guangzhou,China,01,006-matcha-maya-guangzhou-coworking-customer-journey.html,78,Fair,100,Excellent,22,1221,1652,14.5,12.8,0.0,0.0,6,6,2,2,1,15,emoji; heading_keyword; opening_keyword; template_voice; title,emoji; heading_keyword; opening_keyword; template_voice; title,none,MATCHA MAYA in Guangzhou: A Coworking Customer Journey at WeWork NEO Metropolis,Coworking Space in Guangzhou: MATCHA MAYA's Journey,"Explore a researched coworking space in Guangzhou with MATCHA MAYA: one focused workday, a local matcha ritual, practical checks, and an honest verdict.",coworking space in Guangzhou
7,Cairo,Egypt,01,007-matcha-maya-cairo-coworking-customer-journey.html,78,Fair,100,Excellent,22,1232,1648,14.6,12.5,0.0,0.0,6,6,2,2,1,15,emoji; heading_keyword; opening_keyword; template_voice; title,emoji; heading_keyword; opening_keyword; template_voice; title,none,MATCHA MAYA in Cairo: A Coworking Customer Journey at Regus Nile City Towers,Coworking Space in Cairo: MATCHA MAYA's Journey,"Explore a researched coworking space in Cairo with MATCHA MAYA: one focused workday, a local matcha ritual, practical checks, and an honest verdict.",coworking space in Cairo
8,Manila,Philippines,01,008-matcha-maya-manila-coworking-customer-journey.html,78,Fair,100,Excellent,22,1217,1634,14.4,12.7,0.0,0.0,6,6,2,2,1,15,emoji; heading_keyword; opening_keyword; template_voice; title,emoji; heading_keyword; opening_keyword; template_voice; title,none,MATCHA MAYA in Manila: A Coworking Customer Journey at KMC Proworking,Coworking Space in Manila: MATCHA MAYA's Journey,"Explore a researched coworking space in Manila with MATCHA MAYA: one focused workday, a local matcha ritual, practical checks, and an honest verdict.",coworking space in Manila
9,Kolkata,India,01,009-matcha-maya-kolkata-coworking-customer-journey.html,78,Fair,100,Excellent,22,1239,1660,14.7,12.8,0.0,0.0,6,6,2,2,1,15,emoji; heading_keyword; opening_keyword; template_voice; title,emoji; heading_keyword; opening_keyword; template_voice; title,none,MATCHA MAYA in Kolkata: A Coworking Customer Journey at Awfis Godrej Waterside,Coworking Space in Kolkata: MATCHA MAYA's Journey,"Explore a researched coworking space in Kolkata with MATCHA MAYA: one focused workday, a local matcha ritual, practical checks, and an honest verdict.",coworking space in Kolkata
10,Seoul,South Korea,01,010-matcha-maya-seoul-coworking-customer-journey.html,84,Good,100,Excellent,16,1216,1625,14.4,12.6,0.0,0.0,6,6,2,2,1,15,emoji; heading_keyword; opening_keyword; template_voice,emoji; heading_keyword; opening_keyword; template_voice,none,MATCHA MAYA in Seoul: A Coworking Customer Journey at Fastfive,Coworking Space in Seoul: MATCHA MAYA's Journey,"Explore a researched coworking space in Seoul with MATCHA MAYA: one focused workday, a local matcha ritual, practical checks, and an honest verdict.",coworking space in Seoul
