rank,city,country,seo_title,suggested_slug,meta_description,primary_keyword,secondary_keywords,html_file,word_count,workspace,workspace_url,furniture_source,furniture_url,featured_image_filename,featured_image_alt
1,Jakarta,Indonesia,Coworking Space in Jakarta: MATCHA MAYA's Journey,matcha-maya-jakarta-coworking-customer-journey,"Explore a researched coworking space in Jakarta with MATCHA MAYA: one focused workday, a local matcha ritual, practical checks, and an honest verdict.",coworking space in Jakarta,GoWork Plaza Indonesia; MATCHA MAYA; remote work Jakarta; coworking customer journey; digital nomad Jakarta,001-matcha-maya-jakarta-coworking-customer-journey.html,1627,GoWork Plaza Indonesia,https://go-work.com/,INFORMA,https://informa.co.id/services/office-chairs,matcha-maya-coworking-jakarta.jpg,MATCHA MAYA working with matcha in a coworking story set in Jakarta
2,Dhaka,Bangladesh,Coworking Space in Dhaka: MATCHA MAYA's Journey,matcha-maya-dhaka-coworking-customer-journey,"Explore a researched coworking space in Dhaka with MATCHA MAYA: one focused workday, a local matcha ritual, practical checks, and an honest verdict.",coworking space in Dhaka,Moar Banani; MATCHA MAYA; remote work Dhaka; coworking customer journey; digital nomad Dhaka,002-matcha-maya-dhaka-coworking-customer-journey.html,1614,Moar Banani,https://moarbd.com/,HATIL,https://hatil.com/furniture-range-erp/office-furniture,matcha-maya-coworking-dhaka.jpg,MATCHA MAYA working with matcha in a coworking story set in Dhaka
3,Tokyo,Japan,Coworking Space in Tokyo: MATCHA MAYA's Journey,matcha-maya-tokyo-coworking-customer-journey,"Explore a researched coworking space in Tokyo with MATCHA MAYA: one focused workday, a local matcha ritual, practical checks, and an honest verdict.",coworking space in Tokyo,Business-Airport; MATCHA MAYA; remote work Tokyo; coworking customer journey; digital nomad Tokyo,003-matcha-maya-tokyo-coworking-customer-journey.html,1630,Business-Airport,https://business-airport.net/en/,KOKUYO,https://www.kokuyo.com/en/businessoverview/furniture/,matcha-maya-coworking-tokyo.jpg,MATCHA MAYA working with matcha in a coworking story set in Tokyo
4,New Delhi,India,Coworking Space in New Delhi: MATCHA MAYA's Journey,matcha-maya-new-delhi-coworking-customer-journey,"Explore a researched coworking space in New Delhi with MATCHA MAYA: one focused workday, a local matcha ritual, practical checks, and an honest verdict.",coworking space in New Delhi,Awfis New Delhi; MATCHA MAYA; remote work New Delhi; coworking customer journey; digital nomad New Delhi,004-matcha-maya-new-delhi-coworking-customer-journey.html,1667,Awfis New Delhi,https://www.awfis.com/office-space/new-delhi,Featherlite,https://featherlitefurniture.com/,matcha-maya-coworking-new-delhi.jpg,MATCHA MAYA working with matcha in a coworking story set in New Delhi
5,Shanghai,China,Coworking Space in Shanghai: MATCHA MAYA's Journey,matcha-maya-shanghai-coworking-customer-journey,"Explore a researched coworking space in Shanghai with MATCHA MAYA: one focused workday, a local matcha ritual, practical checks, and an honest verdict.",coworking space in Shanghai,Arcc Spaces Jing'an Kerry Centre; MATCHA MAYA; remote work Shanghai; coworking customer journey; digital nomad Shanghai,005-matcha-maya-shanghai-coworking-customer-journey.html,1649,Arcc Spaces Jing'an Kerry Centre,https://www.arccspaces.com/centres/jingan-kerry-centre/,Sunon,https://www.sunonglobal.com/,matcha-maya-coworking-shanghai.jpg,MATCHA MAYA working with matcha in a coworking story set in Shanghai
6,Guangzhou,China,Coworking Space in Guangzhou: MATCHA MAYA's Journey,matcha-maya-guangzhou-coworking-customer-journey,"Explore a researched coworking space in Guangzhou with MATCHA MAYA: one focused workday, a local matcha ritual, practical checks, and an honest verdict.",coworking space in Guangzhou,WeWork NEO Metropolis; MATCHA MAYA; remote work Guangzhou; coworking customer journey; digital nomad Guangzhou,006-matcha-maya-guangzhou-coworking-customer-journey.html,1652,WeWork NEO Metropolis,https://www.wework.cn/en-US/building/neo-metropolis/,Mige Furniture,https://www.migefurniture.com/,matcha-maya-coworking-guangzhou.jpg,MATCHA MAYA working with matcha in a coworking story set in Guangzhou
7,Cairo,Egypt,Coworking Space in Cairo: MATCHA MAYA's Journey,matcha-maya-cairo-coworking-customer-journey,"Explore a researched coworking space in Cairo with MATCHA MAYA: one focused workday, a local matcha ritual, practical checks, and an honest verdict.",coworking space in Cairo,Regus Nile City Towers; MATCHA MAYA; remote work Cairo; coworking customer journey; digital nomad Cairo,007-matcha-maya-cairo-coworking-customer-journey.html,1648,Regus Nile City Towers,https://www.regus.com/en/eg/8000,MOHM Furniture,https://www.mohmfurniture.com/,matcha-maya-coworking-cairo.jpg,MATCHA MAYA working with matcha in a coworking story set in Cairo
8,Manila,Philippines,Coworking Space in Manila: MATCHA MAYA's Journey,matcha-maya-manila-coworking-customer-journey,"Explore a researched coworking space in Manila with MATCHA MAYA: one focused workday, a local matcha ritual, practical checks, and an honest verdict.",coworking space in Manila,KMC Proworking; MATCHA MAYA; remote work Manila; coworking customer journey; digital nomad Manila,008-matcha-maya-manila-coworking-customer-journey.html,1634,KMC Proworking,https://kmc.solutions/ph/proworking-space,Office World by BLIMS,https://officeworld.ph/,matcha-maya-coworking-manila.jpg,MATCHA MAYA working with matcha in a coworking story set in Manila
9,Kolkata,India,Coworking Space in Kolkata: MATCHA MAYA's Journey,matcha-maya-kolkata-coworking-customer-journey,"Explore a researched coworking space in Kolkata with MATCHA MAYA: one focused workday, a local matcha ritual, practical checks, and an honest verdict.",coworking space in Kolkata,Awfis Godrej Waterside; MATCHA MAYA; remote work Kolkata; coworking customer journey; digital nomad Kolkata,009-matcha-maya-kolkata-coworking-customer-journey.html,1660,Awfis Godrej Waterside,https://www.awfis.com/office-space/kolkata/godrej-watersid/coworking-godrej-waterside-salt-lake-5/fixed,Interio by Godrej,https://interio.com/business/,matcha-maya-coworking-kolkata.jpg,MATCHA MAYA working with matcha in a coworking story set in Kolkata
10,Seoul,South Korea,Coworking Space in Seoul: MATCHA MAYA's Journey,matcha-maya-seoul-coworking-customer-journey,"Explore a researched coworking space in Seoul with MATCHA MAYA: one focused workday, a local matcha ritual, practical checks, and an honest verdict.",coworking space in Seoul,Fastfive; MATCHA MAYA; remote work Seoul; coworking customer journey; digital nomad Seoul,010-matcha-maya-seoul-coworking-customer-journey.html,1625,Fastfive,https://fastfive.co.kr/global_eng,FURSYS,https://www.globalfursys.com/,matcha-maya-coworking-seoul.jpg,MATCHA MAYA working with matcha in a coworking story set in Seoul
